Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
01_GET_Login_Page,1,220,220,220,0.00,0.000%,4.54545,13.84,0.63,3118.0
02_POST_Login,1,334,334,334,0.00,0.000%,2.99401,30.54,1.32,10446.0
03_GET_Search_Movie,1,85,85,85,0.00,0.000%,11.76471,179.70,2.40,15641.0
04_GET_Movie_Detail,1,80,80,80,0.00,0.000%,12.50000,173.75,2.69,14234.0
05_GET_Showtimes,1,130,130,130,0.00,0.000%,7.69231,111.94,1.58,14901.0
06_GET_Booking_Page,1,95,95,95,0.00,0.000%,10.52632,307.26,2.18,29890.0
07_POST_Create_Booking,1,91,91,91,0.00,0.000%,10.98901,7.10,2.61,662.0
08_GET_Payment_Page,1,85,85,85,0.00,0.000%,11.76471,167.95,2.42,14618.0
09_POST_Pay_At_Counter,1,205,205,205,0.00,0.000%,4.87805,52.16,2.28,10950.0
TOTAL,9,147,80,334,82.98,0.000%,6.77711,84.17,1.75,12717.8
